9809;FR;MILANO CENTRALE;BARI CENTRALE;REGGIO EMILIA AV;BOLOGNA C.LE;RIMINI;ANCONA;PESCARA;TERMOLI;FOGGIA;;;;;;;;;;;;;;;
9810;FR;ANCONA;MILANO CENTRALE;PESARO;RICCIONE;RIMINI;BOLOGNA C.LE;REGGIO EMILIA AV;;;;;;;;;;;;;;;;;
9811;FR;MILANO CENTRALE;PESCARA;REGGIO EMILIA AV;BOLOGNA C.LE;FORL�;RIMINI;PESARO;ANCONA;;;;;;;;;;;;;;;;
8401;FR1000;VENEZIA MESTRE;FIUMICINO AEROPORTO;VENEZIA MESTRE;PADOVA;ROVIGO;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;;;;;;;;;;;;;;;
8419;FR1000;VENEZIA SANTA LUCIA;FIUMICINO AEROPORTO;VENEZIA MESTRE;PADOVA;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;ROMA TERMINI;;;;;;;;;;;;;;;;
8431;FR1000;FIUMICINO AEROPORTO;VENEZIA SANTA LUCIA;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
8445;FR1000;FIUMICINO AEROPORTO;VENEZIA SANTA LUCIA;ROMA TERMINI;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
8447;FR1000;VENEZIA SANTA LUCIA;ROMA TERMINI;VENEZIA MESTRE;PADOVA;ROVIGO;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;;;;;;;;;;;;;;;;
8464;FR1000;ROMA TERMINI;VENEZIA SANTA LUCIA;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;FERRARA;PADOVA;VENEZIA MESTRE;;;;;;;;;;;;;;;;
8505;FR1000;BERGAMO;ROMA TERMINI;BRESCIA;VERONA PORTA NUOVA;BOLOGNA C.LE/AV;FIRENZE CAMPO MARTE;;;;;;;;;;;;;;;;;;
8528;FR1000;ROMA TERMINI;BERGAMO;FIRENZE CAMPO MARTE;BOLOGNA C.LE/AV;VERONA PORTA NUOVA;BRESCIA;;;;;;;;;;;;;;;;;;
8561;FR1000;FIUMICINO AEROPORTO;ROMA TERMINI;;;;;;;;;;;;;;;;;;;;;;
8562;FR1000;ROMA TERMINI;FIUMICINO AEROPORTO;;;;;;;;;;;;;;;;;;;;;;
8566;FR1000;ROMA TERMINI;FIUMICINO AEROPORTO;;;;;;;;;;;;;;;;;;;;;;
8569;FR1000;FIUMICINO AEROPORTO;ROMA TERMINI;;;;;;;;;;;;;;;;;;;;;;
9301;FR1000;TORINO P.NUOVA;ROMA TERMINI;TORINO PORTA SUSA ;MILANO PORTA GARIBALDI;MILANO ROGOREDO;REGGIO EMILIA AV;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;;;;;;;;;;;;;;;
9305;FR1000;TORINO P.NUOVA;SALERNO;TORINO PORTA SUSA ;MILANO PORTA GARIBALDI;MILANO ROGOREDO;REGGIO EMILIA AV;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;NAPOLI CENTRALE;;;;;;;;;;;;;;
9306;FR1000;ROMA TERMINI;TORINO P.NUOVA;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;REGGIO EMILIA AV;MILANO ROGOREDO;MILANO PORTA GARIBALDI;TORINO PORTA SUSA ;;;;;;;;;;;;;;;
9309;FR1000;TORINO P.NUOVA;ROMA TERMINI;TORINO PORTA SUSA ;MILANO PORTA GARIBALDI;MILANO ROGOREDO;REGGIO EMILIA AV;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;;;;;;;;;;;;;;;
9312;FR1000;SALERNO;TORINO P.NUOVA;NAPOLI CENTRALE;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;REGGIO EMILIA AV;MILANO ROGOREDO;MILANO PORTA GARIBALDI;TORINO PORTA SUSA ;;;;;;;;;;;;;;
9318;FR1000;ROMA TERMINI;TORINO P.NUOVA;ROMA TIBURTINA;FIRENZE S.M.N.;BOLOGNA C.LE/AV;REGGIO EMILIA AV;MILANO ROGOREDO;MILANO PORTA GARIBALDI;TORINO PORTA SUSA ;;;;;;;;;;;;;;;
9329;FR1000;TORINO P.NUOVA;SALERNO;TORINO PORTA SUSA ;MILANO PORTA GARIBALDI;MILANO ROGOREDO;REGGIO EMILIA AV;BOLOGNA C.LE/AV;FIRENZE S.M.N.;ROMA TIBURTINA;NAPOLI CENTRALE;;;;;;;;;;;;;;
